depth_m,azimuth_rad,altitude_rad,velocity_mps
87.393898,-0.261799395,0.112199746,-1.37018681
52.4034653,-0.261799395,0.186999574,-1.35481834
37.5650749,-0.261799395,0.261799395,-1.33187294
87.1735153,-0.186999574,0.112199746,-2.1039865
51.9167938,-0.186999574,0.186999574,-2.08038783
37.3160782,-0.186999574,0.261799395,-2.04515481
86.8011169,-0.112199731,0.112199746,-2.82602191
51.3046608,-0.112199731,0.186999574,-2.79432344
37.0607986,-0.112199731,0.261799395,-2.7469995
86.3863602,-0.0373999104,0.112199746,-3.5322516
51.3046608,-0.0373999104,0.186999574,-3.49263144
36.85252,-0.0373999104,0.261799395,-3.43348122
86.1030121,0.0373999253,0.112199746,-4.21872711
51.3046608,0.0373999253,0.186999574,-4.17140865
36.8525162,0.0373999253,0.261799395,-4.10076237
85.8669281,0.112199746,0.112199746,-4.88161087
51.3046608,0.112199746,0.186999574,-4.82685757
36.8525162,0.112199746,0.261799395,-4.74510956
85.6786728,0.186999574,0.112199746,-5.51719379
51.3046608,0.186999574,0.186999574,-5.45531178
36.8525162,0.186999574,0.261799395,-5.36292171
85.3562775,0.261799395,0.112199746,-6.12192297
51.3046646,0.261799395,0.186999574,-6.05325794
36.85252,0.261799395,0.261799395,-5.95074034
